72%,1010 hPa,1 °C
64%,1012 hPa,1.0 °C
55%,1013 hPa,1 °C
35%,1013 hPa,0.0 °C
21%,1014 hPa,0 °C
21%,1014 hPa,0.0 °C
10%,1015 hPa,0 °C
11%,1014 hPa,0.0 °C
4%,1015 hPa,0 °C
11%,1014 hPa,1.0 °C
4%,1015 hPa,1 °C
10%,1014 hPa,2.0 °C
4%,1015 hPa,2 °C
11%,1015 hPa,3.0 °C
4%,1016 hPa,3 °C
10%,1016 hPa,3.0 °C
4%,1017 hPa,3 °C
10%,1017 hPa,2.0 °C
4%,1018 hPa,2 °C
11%,1018 hPa,1.0 °C
4%,1018 hPa,1 °C
13%,1018 hPa,1.0 °C
4%,1019 hPa,1 °C
16%,1019 hPa,1.0 °C
7%,1020 hPa,1 °C
21%,1021 hPa,1.0 °C
9%,1022 hPa,1 °C
23%,1022 hPa,1.0 °C
11%,1023 hPa,1 °C
34%,1023 hPa,0.0 °C
20%,1024 hPa,0 °C
43%,1023 hPa,0 °C
28%,1024 hPa,1.0 °C
54%,1024 hPa,1 °C
38%,1025 hPa,1.0 °C
51%,1024 hPa,1 °C
38%,1025 hPa,1.0 °C
59%,1025 hPa,1 °C
47%,1026 hPa,0.0 °C
63%,1026 hPa,0 °C
52%,1027 hPa,0.0 °C
68%,1026 hPa,0 °C
55%,1027 hPa,1.0 °C
74%,1026 hPa,1 °C
63%,1027 hPa,1.0 °C
74%,1027 hPa,1 °C
61%,1027 hPa,1.0 °C
62%,1028 hPa,1 °C
74%,1028 hPa,1.0 °C
60%,1028 hPa,1 °C
64%,1028 hPa,1.0 °C
54%,1029 hPa,1 °C
35%,1028 hPa,0.0 °C
21%,1029 hPa,0 °C
30%,1028 hPa,0.0 °C
16%,1029 hPa,0 °C
18%,1028 hPa,1.0 °C
9%,1028 hPa,1 °C
18%,1027 hPa,0.0 °C
8%,1028 hPa,0 °C
18%,1027 hPa,1.0 °C
7%,1028 hPa,1 °C
17%,1027 hPa,1 °C
7%,1028 hPa,0.0 °C
20%,1028 hPa,0 °C
9%,1028 hPa,1.0 °C
31%,1028 hPa,1 °C
17%,1029 hPa,1.0 °C
40%,1029 hPa,1 °C
25%,1030 hPa,0.0 °C
50%,1029 hPa,0 °C
36%,1030 hPa,0.0 °C
58%,1029 hPa,0 °C
44%,1030 hPa,1.0 °C
63%,1029 hPa,1 °C
48%,1030 hPa,1.0 °C
68%,1030 hPa,1 °C
54%,1031 hPa,1.0 °C
63%,1030 hPa,1 °C
56%,1031 hPa,0.0 °C
68%,1030 hPa,0 °C
58%,1031 hPa,2.0 °C
73%,1030 hPa,2 °C
62%,1031 hPa,3.0 °C
73%,1030 hPa,3 °C
58%,1031 hPa,4.0 °C
73%,1030 hPa,4 °C
58%,1031 hPa,5.0 °C
73%,1030 hPa,5 °C
59%,1031 hPa,5.0 °C
59%,1031 hPa,5 °C
73%,1030 hPa,4.0 °C
59%,1031 hPa,4 °C
73%,1029 hPa,1.0 °C
63%,1030 hPa,1 °C
63%,1030 hPa,0.0 °C
50%,1031 hPa,1.0 °C
59%,1031 hPa,1 °C
47%,1031 hPa,1.0 °C
47%,1031 hPa,1 °C
34%,1031 hPa,1.0 °C
35%,1030 hPa,1 °C
23%,1031 hPa,1.0 °C
32%,1029 hPa,1 °C
20%,1030 hPa,1.0 °C
35%,1029 hPa,1 °C
20%,1030 hPa,2.0 °C
38%,1028 hPa,2 °C
22%,1029 hPa,3.0 °C
41%,1028 hPa,3 °C
28%,1029 hPa,3 °C
48%,1028 hPa,4.0 °C
35%,1029 hPa,4 °C
59%,1029 hPa,5.0 °C
45%,1029 hPa,5 °C
64%,1029 hPa,5.0 °C
55%,1029 hPa,5 °C
74%,1029 hPa,3.0 °C
66%,1030 hPa,3 °C
74%,1029 hPa,2.0 °C
57%,1030 hPa,2 °C
64%,1029 hPa,1.0 °C
51%,1030 hPa,1 °C
64%,1028 hPa,1.0 °C
49%,1029 hPa,1 °C
63%,1028 hPa,0.0 °C
50%,1029 hPa,0 °C
63%,1027 hPa,1.0 °C
49%,1028 hPa,1 °C
63%,1026 hPa,0.0 °C
50%,1027 hPa,0 °C
63%,1026 hPa,0.0 °C
49%,1027 hPa,0 °C
68%,1026 hPa,0.0 °C
54%,1027 hPa,0 °C
63%,1025 hPa,0.0 °C
50%,1026 hPa,0 °C
63%,1024 hPa,1.0 °C
48%,1025 hPa,1 °C
63%,1024 hPa,0.0 °C
48%,1025 hPa,0 °C
63%,1024 hPa,3.0 °C
50%,1025 hPa,3 °C
68%,1024 hPa,5.0 °C
55%,1025 hPa,5 °C
55%,1024 hPa,5.0 °C
42%,1025 hPa,5 °C
47%,1024 hPa,5.0 °C
31%,1025 hPa,5 °C
40%,1024 hPa,5.0 °C
24%,1025 hPa,5 °C
38%,1024 hPa,4.0 °C
23%,1025 hPa,4 °C
38%,1024 hPa,4.0 °C
23%,1025 hPa,4 °C
41%,1024 hPa,2.0 °C
27%,1024 hPa,2 °C
41%,1024 hPa,2.0 °C
29%,1024 hPa,2 °C
44%,1024 hPa,2.0 °C
31%,1024 hPa,2 °C
51%,1024 hPa,1.0 °C
34%,1025 hPa,1 °C
64%,1025 hPa,0.0 °C
51%,1026 hPa,0 °C
69%,1025 hPa,0.0 °C
57%,1026 hPa,0 °C
74%,1025 hPa,0.0 °C
67%,1026 hPa,0 °C
74%,1025 hPa,0.0 °C
65%,1026 hPa,0 °C
74%,1025 hPa,0.0 °C
69%,1026 hPa,0 °C
80%,1025 hPa,0.0 °C
72%,1025 hPa,0 °C
80%,1025 hPa,0.0 °C
79%,1026 hPa,0 °C
86%,1024 hPa,0.0 °C
84%,1025 hPa,0 °C
93%,1024 hPa,0.0 °C
92%,1025 hPa,0 °C
100%,1024 hPa,2.0 °C
96%,1025 hPa,2 °C
65%,1025 hPa,2.0 °C
80%,1023 hPa,2 °C
69%,1024 hPa,3.0 °C
86%,1023 hPa,3 °C
75%,1024 hPa,3.0 °C
86%,1023 hPa,3 °C
77%,1024 hPa,5.0 °C
74%,1023 hPa,5 °C
70%,1024 hPa,7.0 °C
74%,1023 hPa,7 °C
61%,1024 hPa,7.0 °C
64%,1023 hPa,7 °C
52%,1024 hPa,7.0 °C
60%,1022 hPa,7 °C
45%,1023 hPa,7 °C
56%,1022 hPa,7.0 °C
38%,1022 hPa,7 °C
45%,1021 hPa,5.0 °C
31%,1022 hPa,5 °C
41%,1021 hPa,4.0 °C
29%,1022 hPa,4 °C
44%,1020 hPa,4.0 °C
31%,1021 hPa,4 °C
48%,1020 hPa,2.0 °C
35%,1020 hPa,2 °C
55%,1020 hPa,0.0 °C
43%,1020 hPa,0 °C
69%,1020 hPa,0.0 °C
55%,1020 hPa,0 °C
74%,1020 hPa,0.0 °C
63%,1020 hPa,0 °C
74%,1020 hPa,0.0 °C
64%,1020 hPa,0 °C
80%,1020 hPa,0.0 °C
67%,1021 hPa,0.0 °C
80%,1020 hPa,0 °C
70%,1021 hPa,3.0 °C
80%,1020 hPa,3 °C
71%,1021 hPa,5.0 °C
60%,1020 hPa,5 °C
59%,1019 hPa,5.0 °C
75%,1017 hPa,5 °C
59%,1018 hPa,7.0 °C
75%,1017 hPa,7 °C
64%,1018 hPa,7.0 °C
75%,1017 hPa,7 °C
61%,1018 hPa,7.0 °C
69%,1017 hPa,7 °C
58%,1018 hPa,7 °C
75%,1017 hPa,5.0 °C
67%,1018 hPa,5 °C
75%,1017 hPa,4.0 °C
64%,1017 hPa,4 °C
69%,1017 hPa,4.0 °C
58%,1018 hPa,4 °C
69%,1017 hPa,4.0 °C
60%,1017 hPa,4 °C
50%,1016 hPa,3.0 °C
60%,1014 hPa,3 °C
48%,1015 hPa,3.0 °C
60%,1014 hPa,3 °C
48%,1015 hPa,3.0 °C
60%,1014 hPa,3 °C
47%,1015 hPa,2.0 °C
64%,1014 hPa,2 °C
52%,1015 hPa,2.0 °C
60%,1015 hPa,2 °C
49%,1016 hPa,1.0 °C
60%,1015 hPa,1 °C
48%,1016 hPa,0.0 °C
60%,1015 hPa,0 °C
48%,1016 hPa,0.0 °C
60%,1016 hPa,0 °C
46%,1017 hPa,0.0 °C
59%,1017 hPa,0 °C
45%,1018 hPa,1.0 °C
59%,1017 hPa,1 °C
45%,1018 hPa,0.0 °C
59%,1018 hPa,0 °C
46%,1018 hPa,0.0 °C
55%,1018 hPa,0 °C
41%,1019 hPa,1.0 °C
59%,1018 hPa,1 °C
45%,1019 hPa,4.0 °C
63%,1019 hPa,4 °C
53%,1020 hPa,5.0 °C
74%,1019 hPa,5 °C
59%,1020 hPa,6.0 °C
68%,1019 hPa,6 °C
59%,1020 hPa,7.0 °C
68%,1019 hPa,7 °C
59%,1020 hPa,8.0 °C
68%,1020 hPa,8 °C
60%,1021 hPa,8.0 °C
68%,1021 hPa,8 °C
61%,1022 hPa,8.0 °C
74%,1021 hPa,8 °C
59%,1022 hPa,6.0 °C
68%,1022 hPa,6 °C
57%,1022 hPa,4.0 °C
55%,1022 hPa,4 °C
41%,1023 hPa,3.0 °C
32%,1023 hPa,3 °C
47%,1021 hPa,3.0 °C
30%,1022 hPa,3 °C
41%,1020 hPa,1.0 °C
28%,1021 hPa,1 °C
44%,1020 hPa,0.0 °C
30%,1020 hPa,0 °C
48%,1019 hPa,0 °C
33%,1020 hPa,0 °C
44%,1019 hPa,0.0 °C
31%,1020 hPa,2.0 °C
64%,1019 hPa,2 °C
48%,1019 hPa,3.0 °C
74%,1018 hPa,3 °C
58%,1019 hPa,4.0 °C
74%,1019 hPa,4 °C
65%,1019 hPa,4.0 °C
80%,1018 hPa,4 °C
72%,1019 hPa,5.0 °C
86%,1018 hPa,5 °C
78%,1019 hPa,6.0 °C
86%,1018 hPa,6 °C
81%,1019 hPa,5.0 °C
86%,1018 hPa,5 °C
84%,1019 hPa,4.0 °C
86%,1018 hPa,4 °C
80%,1019 hPa,3.0 °C
80%,1018 hPa,3 °C
75%,1019 hPa,1.0 °C
80%,1018 hPa,1 °C
75%,1019 hPa,0.0 °C
80%,1018 hPa,0 °C
73%,1019 hPa,0.0 °C
80%,1018 hPa,0.0 °C
73%,1019 hPa,0 °C
74%,1018 hPa,1.0 °C
66%,1019 hPa,1 °C
80%,1018 hPa,2.0 °C
66%,1019 hPa,2 °C
68%,1018 hPa,5.0 °C
60%,1019 hPa,5 °C
69%,1019 hPa,5.0 °C
60%,1020 hPa,5 °C
69%,1020 hPa,6.0 °C
56%,1020 hPa,6 °C
60%,1020 hPa,7.0 °C
43%,1021 hPa,7 °C
60%,1020 hPa,8.0 °C
42%,1021 hPa,8 °C
56%,1020 hPa,6.0 °C
43%,1021 hPa,6 °C
56%,1020 hPa,3.0 °C
45%,1020 hPa,3 °C
56%,1019 hPa,0.0 °C
45%,1020 hPa,0 °C
60%,1019 hPa,0.0 °C
50%,1020 hPa,0 °C
65%,1019 hPa,0.0 °C
54%,1020 hPa,0 °C
70%,1019 hPa,0.0 °C
58%,1020 hPa,0 °C
70%,1018 hPa,0.0 °C
60%,1019 hPa,0 °C
75%,1018 hPa,0.0 °C
64%,1018 hPa,0 °C
87%,1017 hPa,4.0 °C
82%,1017 hPa,4 °C
100%,1014 hPa,7.0 °C
93%,1015 hPa,7 °C
93%,1013 hPa,8.0 °C
89%,1014 hPa,8 °C
80%,1013 hPa,9.0 °C
81%,1014 hPa,9 °C
80%,1013 hPa,9.0 °C
81%,1014 hPa,9 °C
93%,1014 hPa,10.0 °C
81%,1014 hPa,10 °C
93%,1009 hPa,10.0 °C
83%,1010 hPa,10 °C
87%,1006 hPa,8.0 °C
84%,1006 hPa,8 °C
80%,1007 hPa,4.0 °C
81%,1003 hPa,4 °C
80%,1004 hPa,1 °C
75%,1001 hPa,0.0 °C
72%,1002 hPa,2.0 °C
75%,1000 hPa,2 °C
72%,1001 hPa,2.0 °C
80%,999 hPa,2 °C
67%,1000 hPa,0.0 °C
80%,999 hPa,0 °C
67%,1000 hPa,0.0 °C
75%,998 hPa,0 °C
68%,999 hPa,0.0 °C
75%,998 hPa,0 °C
67%,998 hPa,0.0 °C
75%,996 hPa,0 °C
67%,997 hPa,0.0 °C
75%,995 hPa,0 °C
68%,996 hPa,0.0 °C
75%,994 hPa,0 °C
68%,995 hPa,0 °C
80%,995 hPa,0.0 °C
67%,996 hPa,0 °C
75%,996 hPa,0.0 °C
65%,997 hPa,0 °C
75%,997 hPa,2.0 °C
69%,998 hPa,2 °C
80%,998 hPa,3.0 °C
67%,999 hPa,3 °C
75%,999 hPa,3.0 °C
68%,1000 hPa,3 °C
65%,1001 hPa,5.0 °C
75%,1002 hPa,5 °C
64%,1003 hPa,7.0 °C
75%,1002 hPa,7 °C
67%,1003 hPa,8.0 °C
75%,1003 hPa,8 °C
65%,1003 hPa,8.0 °C
75%,1003 hPa,8 °C
64%,1004 hPa,8.0 °C
75%,1004 hPa,8 °C
64%,1004 hPa,8.0 °C
75%,1004 hPa,8 °C
68%,1005 hPa,5.0 °C
75%,1004 hPa,5 °C
68%,1005 hPa,3.0 °C
75%,1005 hPa,3 °C
67%,1005 hPa,1.0 °C
74%,1005 hPa,1 °C
67%,1006 hPa,1.0 °C
74%,1006 hPa,1 °C
68%,1007 hPa,0 °C
74%,1007 hPa,0.0 °C
68%,1007 hPa,0 °C
93%,1008 hPa,4.0 °C
84%,1008 hPa,4 °C
87%,1009 hPa,7.0 °C
85%,1009 hPa,7 °C
87%,1009 hPa,10.0 °C
84%,1010 hPa,10 °C
87%,1010 hPa,11.0 °C
76%,1010 hPa,11 °C
75%,1008 hPa,12.0 °C
70%,1009 hPa,12 °C
70%,1008 hPa,12.0 °C
58%,1009 hPa,12 °C
65%,1008 hPa,11.0 °C
56%,1009 hPa,11 °C
70%,1009 hPa,10 °C
58%,1009 hPa,7.0 °C
75%,1010 hPa,7 °C
74%,1010 hPa,6.0 °C
93%,1010 hPa,6 °C
86%,1011 hPa,5.0 °C
93%,1011 hPa,5 °C
88%,1012 hPa,2.0 °C
100%,1011 hPa,2 °C
93%,1012 hPa,1.0 °C
93%,1011 hPa,1 °C
93%,1012 hPa,1.0 °C
93%,1012 hPa,1 °C
93%,1013 hPa,1 °C
86%,1012 hPa,0.0 °C
85%,1013 hPa,0 °C
85%,1014 hPa,0.0 °C
86%,1013 hPa,2.0 °C
80%,1014 hPa,2 °C
86%,1013 hPa,4.0 °C
83%,1014 hPa,4 °C
75%,1013 hPa,4.0 °C
66%,1014 hPa,4 °C
75%,1013 hPa,5.0 °C
67%,1014 hPa,5 °C
70%,1014 hPa,6.0 °C
58%,1015 hPa,6 °C
70%,1015 hPa,6.0 °C
59%,1016 hPa,6 °C
65%,1015 hPa,6.0 °C
57%,1016 hPa,6 °C
56%,1017 hPa,5.0 °C
41%,1017 hPa,5 °C
45%,1017 hPa,2.0 °C
32%,1018 hPa,2 °C
36%,1018 hPa,0.0 °C
42%,1017 hPa,0 °C
29%,1018 hPa,0.0 °C
39%,1017 hPa,0 °C
24%,1017 hPa,1.0 °C
39%,1016 hPa,1 °C
25%,1017 hPa,0.0 °C
45%,1017 hPa,0.0 °C
30%,1018 hPa,0 °C
52%,1017 hPa,2.0 °C
38%,1018 hPa,2 °C
60%,1017 hPa,3.0 °C
45%,1018 hPa,3 °C
56%,1018 hPa,4.0 °C
43%,1018 hPa,4 °C
60%,1018 hPa,5.0 °C
49%,1019 hPa,5 °C
65%,1018 hPa,5.0 °C
50%,1019 hPa,5 °C
64%,1018 hPa,5.0 °C
51%,1018 hPa,5 °C
64%,1018 hPa,4.0 °C
51%,1018 hPa,4 °C
64%,1018 hPa,2 °C
54%,1018 hPa,1.0 °C
69%,1018 hPa,1 °C
56%,1018 hPa,1.0 °C
65%,1017 hPa,1 °C
51%,1018 hPa,1.0 °C
64%,1017 hPa,1 °C
54%,1018 hPa,2.0 °C
64%,1016 hPa,2 °C
57%,1017 hPa,4.0 °C
60%,1016 hPa,4 °C
47%,1017 hPa,4.0 °C
64%,1016 hPa,4 °C
53%,1017 hPa,5.0 °C
64%,1016 hPa,5 °C
51%,1016 hPa,5.0 °C
59%,1016 hPa,5 °C
46%,1016 hPa,4.0 °C
59%,1016 hPa,4 °C
49%,1016 hPa,2.0 °C
55%,1016 hPa,2 °C
43%,1017 hPa,0.0 °C
52%,1016 hPa,0 °C
42%,1017 hPa,2.0 °C
36%,1016 hPa,2 °C
22%,1017 hPa,4.0 °C
33%,1015 hPa,4 °C
23%,1016 hPa,4.0 °C
33%,1015 hPa,4 °C
23%,1015 hPa,4.0 °C
36%,1014 hPa,4 °C
24%,1015 hPa,5.0 °C
56%,1015 hPa,5 °C
44%,1015 hPa,5.0 °C
61%,1015 hPa,5 °C
49%,1015 hPa,5.0 °C
60%,1015 hPa,5 °C
47%,1015 hPa,3.0 °C
60%,1015 hPa,3 °C
50%,1016 hPa,1.0 °C
60%,1015 hPa,1 °C
49%,1016 hPa,0.0 °C
70%,1015 hPa,0.0 °C
59%,1016 hPa,0 °C
69%,1015 hPa,2.0 °C
59%,1016 hPa,2 °C
60%,1015 hPa,4.0 °C
48%,1016 hPa,4 °C
60%,1015 hPa,5.0 °C
48%,1016 hPa,5 °C
60%,1015 hPa,6.0 °C
45%,1016 hPa,6 °C
51%,1015 hPa,6.0 °C
39%,1016 hPa,6 °C
51%,1015 hPa,6.0 °C
38%,1016 hPa,6 °C
51%,1015 hPa,6.0 °C
39%,1016 hPa,6 °C
51%,1015 hPa,3.0 °C
38%,1016 hPa,3 °C
51%,1015 hPa,1.0 °C
38%,1016 hPa,1 °C
48%,1016 hPa,0.0 °C
33%,1017 hPa,0 °C
48%,1016 hPa,2.0 °C
35%,1017 hPa,2 °C
48%,1018 hPa,4.0 °C
34%,1018 hPa,4 °C
45%,1018 hPa,4.0 °C
31%,1019 hPa,4 °C
39%,1018 hPa,5.0 °C
26%,1019 hPa,5 °C
34%,1018 hPa,6.0 °C
22%,1019 hPa,6 °C
34%,1018 hPa,5.0 °C
20%,1019 hPa,5 °C
31%,1018 hPa,4.0 °C
19%,1018 hPa,4 °C
18%,1019 hPa,3.0 °C
31%,1019 hPa,3 °C
19%,1019 hPa,3.0 °C
33%,1019 hPa,3 °C
21%,1020 hPa,3.0 °C
42%,1020 hPa,3 °C
27%,1020 hPa,3.0 °C
45%,1021 hPa,3 °C
31%,1021 hPa,3.0 °C
52%,1021 hPa,3 °C
38%,1022 hPa,3.0 °C
64%,1022 hPa,3 °C
47%,1023 hPa,3.0 °C
64%,1022 hPa,5 °C
54%,1023 hPa,5.0 °C
64%,1022 hPa,5 °C
53%,1023 hPa,5.0 °C
64%,1022 hPa,5 °C
50%,1023 hPa,5.0 °C
64%,1022 hPa,5 °C
54%,1023 hPa,5.0 °C
60%,1023 hPa,5 °C
49%,1024 hPa,5.0 °C
64%,1022 hPa,5 °C
53%,1023 hPa,5.0 °C
64%,1023 hPa,5 °C
56%,1024 hPa,5.0 °C
64%,1023 hPa,5 °C
54%,1024 hPa,5.0 °C
75%,1023 hPa,5 °C
59%,1024 hPa,5.0 °C
69%,1022 hPa,5 °C
60%,1023 hPa,6 °C
69%,1022 hPa,7.0 °C
60%,1023 hPa,7 °C
69%,1024 hPa,7.0 °C
57%,1024 hPa,7 °C
60%,1024 hPa,7.0 °C
47%,1025 hPa,7 °C
45%,1024 hPa,7.0 °C
33%,1025 hPa,7 °C
49%,1025 hPa,7.0 °C
35%,1025 hPa,7 °C
49%,1024 hPa,7.0 °C
34%,1024 hPa,7 °C
49%,1024 hPa,7.0 °C
34%,1025 hPa,7 °C
49%,1024 hPa,7 °C
37%,1024 hPa,7.0 °C
37%,1024 hPa,7 °C
57%,1024 hPa,7.0 °C
40%,1024 hPa,7 °C
56%,1024 hPa,7.0 °C
46%,1025 hPa,7 °C
61%,1025 hPa,7.0 °C
49%,1026 hPa,7 °C
61%,1025 hPa,7 °C
50%,1026 hPa,7.0 °C
60%,1026 hPa,7 °C
52%,1026 hPa,7.0 °C
60%,1026 hPa,7 °C
52%,1027 hPa,7.0 °C
65%,1026 hPa,7 °C
53%,1027 hPa,7 °C
70%,1027 hPa,7.0 °C
55%,1027 hPa,7 °C
65%,1027 hPa,7.0 °C
57%,1027 hPa,7 °C
70%,1027 hPa,7.0 °C
58%,1028 hPa,7 °C
75%,1027 hPa,7 °C
63%,1028 hPa,7 °C
75%,1028 hPa,8.0 °C
69%,1028 hPa,8 °C
75%,1028 hPa,8.0 °C
64%,1029 hPa,8 °C
75%,1028 hPa,8.0 °C
65%,1029 hPa,8.0 °C
75%,1028 hPa,8 °C
61%,1029 hPa,8.0 °C
75%,1028 hPa,8.0 °C
63%,1029 hPa,8 °C
75%,1029 hPa,9.0 °C
64%,1030 hPa,9 °C
65%,1030 hPa,9.0 °C
60%,1030 hPa,9 °C
61%,1030 hPa,10.0 °C
46%,1031 hPa,10 °C
57%,1030 hPa,9.0 °C
43%,1030 hPa,9 °C
53%,1030 hPa,8.0 °C
38%,1030 hPa,8 °C
46%,1029 hPa,7.0 °C
34%,1030 hPa,7 °C
46%,1029 hPa,7.0 °C
33%,1030 hPa,7 °C
43%,1029 hPa,7.0 °C
31%,1030 hPa,7 °C
49%,1030 hPa,7.0 °C
37%,1030 hPa,7 °C
56%,1030 hPa,7.0 °C
40%,1031 hPa,7 °C
60%,1030 hPa,7 °C
47%,1031 hPa,6.0 °C
60%,1031 hPa,6 °C
48%,1032 hPa,6.0 °C
70%,1031 hPa,6 °C
52%,1032 hPa,6.0 °C
