Time (CET),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
11:00 AM,3 °C,0,2 °C,88%,1022 hPa,9 km,NNE,3.7 km/h		/  ,0,0,	 ,Mist
11:55 AM,6.0 °C,4.0 °C,3.0 °C,81%,1020 hPa,8.0 km,East,9.3 km/h		/ 2.6 m/s,0,N/A,	 ,Unknown
12:00 PM,6 °C,0,3 °C,78%,1021 hPa,8 km,East,9.3 km/h		/  ,0,0,	 ,Mist
12:55 PM,7.0 °C,6.2 °C,4.0 °C,81%,1019 hPa,7.0 km,ESE,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Unknown
1:00 PM,7 °C,0,4 °C,76%,1020 hPa,7 km,ESE,5.6 km/h		/  ,0,0,	 ,Mist
1:55 PM,7.0 °C,5.7 °C,4.0 °C,81%,1018 hPa,6.0 km,ENE,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Unknown
2:00 PM,7 °C,0,4 °C,72%,1019 hPa,6 km,ENE,7.4 km/h		/  ,0,0,	 ,Mist
2:55 PM,8.0 °C,6.4 °C,5.0 °C,81%,1018 hPa,6.0 km,ENE,9.3 km/h		/ 2.6 m/s,0,N/A,	 ,Unknown
3:00 PM,8 °C,0,5 °C,75%,1018 hPa,6 km,ENE,9.3 km/h		/  ,0,0,	 ,Mist
3:55 PM,7.0 °C,6.2 °C,4.0 °C,81%,1018 hPa,5.0 km,East,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Mist
4:00 PM,7 °C,0,4 °C,78%,1018 hPa,5 km,East,5.6 km/h		/  ,0,0,	 ,Mist
4:55 PM,5.0 °C,0,4.0 °C,93%,1017 hPa,4.5 km,North,3.7 km/h		/ 1.0 m/s,0,N/A,	 ,Mist
5:00 PM,5 °C,0,4 °C,87%,1018 hPa,4.5 km,North,3.7 km/h		/  ,0,0,	 ,Mist
5:55 PM,2.0 °C,0.5 °C,2.0 °C,100%,1017 hPa,0,NNE,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Mist
6:00 PM,2 °C,0,2 °C,99%,1018 hPa,4.3 km,NNE,5.6 km/h		/  ,0,0,	 ,Mist
6:55 PM,2.0 °C,0.5 °C,2.0 °C,100%,1017 hPa,4.0 km,North,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Mist
7:00 PM,2 °C,0,2 °C,100%,1018 hPa,4.0 km,North,5.6 km/h		/  ,0,0,	 ,Mist
7:55 PM,2.0 °C,0.5 °C,2.0 °C,100%,1017 hPa,4.0 km,North,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Mist
8:00 PM,2 °C,0,2 °C,98%,1018 hPa,4.0 km,North,5.6 km/h		/  ,0,0,	 ,Mist
8:55 PM,2.0 °C,0,1.0 °C,93%,1016 hPa,2.7 km,Calm,Calm,0,N/A,	 ,Mostly Cloudy
9:00 PM,2 °C,0,1 °C,88%,1017 hPa,2.7 km,Calm,Calm,0,0,	 ,Mist
9:55 PM,2.0 °C,0,1.0 °C,93%,1016 hPa,2.7 km,Calm,Calm,0,N/A,	 ,Mostly Cloudy
10:00 PM,2 °C,0,1 °C,89%,1017 hPa,2.7 km,Calm,Calm,0,0,	 ,Mist
10:55 PM,2.0 °C,0,0.0 °C,87%,1016 hPa,6.0 km,North,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Unknown
11:00 PM,2 °C,0,0 °C,81%,1017 hPa,6 km,North,7.4 km/h		/  ,0,0,	 ,Mist
11:55 PM,2.0 °C,0,0,75%,1016 hPa,8.0 km,Calm,Calm,0,N/A,	 ,Unknown
12:00 AM,2 °C,0,0,67%,1017 hPa,8 km,Calm,Calm,0,0,	 ,Mist
12:55 AM,2.0 °C,0,0,75%,1016 hPa,8.0 km,North,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Unknown
1:00 AM,2 °C,0,0,64%,1017 hPa,8 km,North,7.4 km/h		/  ,0,0,	 ,Mist
1:55 AM,2.0 °C,0,0,70%,1016 hPa,10.0 km,North,11.1 km/h		/ 3.1 m/s,0,N/A,	 ,Mostly Cloudy
2:00 AM,2 °C,0,0,59%,1017 hPa,10 km,North,11.1 km/h		/  ,0,0,	 ,Mostly Cloudy
2:55 AM,2.0 °C,0,0,70%,1016 hPa,10.0 km,Calm,Calm,0,N/A,	 ,Mostly Cloudy
3:00 AM,2 °C,0,0,57%,1017 hPa,10 km,Calm,Calm,0,0,	 ,Mostly Cloudy
3:55 AM,3.0 °C,0.5 °C,0,65%,1016 hPa,0,North,9.3 km/h		/ 2.6 m/s,0,N/A,	 ,Clear
4:00 AM,3 °C,0,0,53%,1017 hPa,12 km,North,9.3 km/h		/  ,0,0,	 ,Mostly Cloudy
4:55 AM,2.0 °C,0,0,70%,1016 hPa,0,North,9.3 km/h		/ 2.6 m/s,0,N/A,	 ,Clear
5:00 AM,2 °C,0,0,60%,1017 hPa,12 km,North,9.3 km/h		/  ,0,0,	 ,Mostly Cloudy
5:55 AM,2.0 °C,0,0,70%,1017 hPa,0,ENE,9.3 km/h		/ 2.6 m/s,0,N/A,	 ,Clear
6:00 AM,2 °C,0,0,59%,1018 hPa,12 km,ENE,9.3 km/h		/  ,0,0,	 ,Partly Cloudy
6:55 AM,2.0 °C,0,0,75%,1018 hPa,0,NE,9.3 km/h		/ 2.6 m/s,0,N/A,	 ,Clear
7:00 AM,2 °C,0,0,64%,1019 hPa,12 km,NE,9.3 km/h		/  ,0,0,	 ,
7:55 AM,2.0 °C,0,0,75%,1019 hPa,0,NE,11.1 km/h		/ 3.1 m/s,0,N/A,	 ,Clear
8:00 AM,2 °C,0,0,67%,1020 hPa,12 km,NE,11.1 km/h		/  ,0,0,	 ,
8:55 AM,3.0 °C,0.0 °C,0,75%,1020 hPa,0,NNE,11.1 km/h		/ 3.1 m/s,0,N/A,	 ,Clear
9:00 AM,3 °C,0,0,68%,1021 hPa,12 km,NNE,11.1 km/h		/  ,0,0,	 ,
9:55 AM,5.0 °C,3.3 °C,0,65%,1022 hPa,0,NE,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Clear
10:00 AM,5 °C,0,0,51%,1022 hPa,12 km,NE,7.4 km/h		/  ,0,0,	 ,
10:55 AM,7.0 °C,5.2 °C,0,53%,1022 hPa,0,ENE,9.3 km/h		/ 2.6 m/s,0,N/A,	 ,Clear
11:00 AM,7 °C,0,0,40%,1023 hPa,12 km,ENE,9.3 km/h		/  ,0,0,	 ,
11:55 AM,8.0 °C,5.8 °C,0,43%,1022 hPa,0,East,13.0 km/h		/ 3.6 m/s,0,N/A,	 ,Clear
12:00 PM,8 °C,0,0,32%,1023 hPa,15 km,East,13.0 km/h		/  ,0,0,	 ,
12:55 PM,8.0 °C,6.4 °C,0,43%,1022 hPa,0,East,9.3 km/h		/ 2.6 m/s,0,N/A,	 ,Clear
1:00 PM,8 °C,0,0,29%,1023 hPa,15 km,East,9.3 km/h		/  ,0,0,	 ,
1:55 PM,8.0 °C,7.3 °C,0,40%,1022 hPa,0,East,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Clear
2:00 PM,8 °C,0,0,26%,1022 hPa,15 km,East,5.6 km/h		/  ,0,0,	 ,
3:00 PM,8 °C,0,0,26%,1022 hPa,15 km,Calm,Calm,0,0,	 ,
3:55 PM,8.0 °C,0,0,40%,1022 hPa,0,SSW,3.7 km/h		/ 1.0 m/s,0,N/A,	 ,Clear
4:00 PM,8 °C,0,0,25%,1022 hPa,15 km,SSW,3.7 km/h		/  ,0,0,	 ,
4:55 PM,5.0 °C,0,0,49%,1022 hPa,0,Calm,Calm,0,N/A,	 ,Clear
5:00 PM,5 °C,0,0,34%,1022 hPa,12 km,Calm,Calm,0,0,	 ,
5:55 PM,3.0 °C,0,0,60%,1022 hPa,0,WSW,3.7 km/h		/ 1.0 m/s,0,N/A,	 ,Clear
6:00 PM,3 °C,0,0,47%,1022 hPa,12 km,WSW,3.7 km/h		/  ,0,0,	 ,
6:55 PM,1.0 °C,0,0,70%,1021 hPa,0,Calm,Calm,0,N/A,	 ,Clear
7:00 PM,1 °C,0,0,60%,1022 hPa,10 km,Calm,Calm,0,0,	 ,
7:55 PM,0.0 °C,0,0,80%,1022 hPa,0,East,3.7 km/h		/ 1.0 m/s,0,N/A,	 ,Clear
8:00 PM,0 °C,0,0,73%,1022 hPa,10 km,East,3.7 km/h		/  ,0,0,	 ,
8:55 PM,0,0,0,86%,1022 hPa,0,North,1.9 km/h		/ 0.5 m/s,0,N/A,	 ,Clear
9:00 PM,0,0,0,76%,1023 hPa,10 km,North,1.9 km/h		/  ,0,0,	 ,
9:55 PM,0,0,0,93%,1022 hPa,0,NE,1.9 km/h		/ 0.5 m/s,0,N/A,	 ,Clear
10:00 PM,0,0,0,83%,1023 hPa,10 km,NE,1.9 km/h		/  ,0,0,	 ,
10:55 PM,0,0,0,86%,1022 hPa,0,NE,3.7 km/h		/ 1.0 m/s,0,N/A,	 ,Clear
11:00 PM,0,0,0,84%,1022 hPa,10 km,NE,3.7 km/h		/  ,0,0,	 ,
11:55 PM,0,0,0,86%,1022 hPa,0,NNE,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Clear
12:00 AM,0,0,0,85%,1022 hPa,10 km,NNE,5.6 km/h		/  ,0,0,	 ,
12:55 AM,0,0,0,93%,1021 hPa,0,NNE,3.7 km/h		/ 1.0 m/s,0,N/A,	 ,Clear
1:00 AM,0,0,0,88%,1022 hPa,10 km,NNE,3.7 km/h		/  ,0,0,	 ,
1:55 AM,0,0,0,93%,1020 hPa,0,North,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Clear
2:00 AM,0,0,0,87%,1021 hPa,10 km,North,7.4 km/h		/  ,0,0,	 ,
2:55 AM,0,0,0,93%,1020 hPa,0,ENE,3.7 km/h		/ 1.0 m/s,0,N/A,	 ,Clear
3:00 AM,0,0,0,88%,1020 hPa,10 km,ENE,3.7 km/h		/  ,0,0,	 ,Scattered Clouds
3:55 AM,0,0,0,86%,1019 hPa,0,East,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Clear
4:00 AM,0,0,0,86%,1020 hPa,10 km,East,5.6 km/h		/  ,0,0,	 ,
4:55 AM,0,0,0,93%,1018 hPa,9.0 km,NNE,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Unknown
5:00 AM,0,0,0,84%,1018 hPa,9 km,NNE,7.4 km/h		/  ,0,0,	 ,Mist
5:55 AM,0,0,0,93%,1017 hPa,8.0 km,NE,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Unknown
6:00 AM,0,0,0,83%,1017 hPa,8 km,NE,7.4 km/h		/  ,0,0,	 ,Mist
6:55 AM,0,0,0,80%,1016 hPa,9.0 km,NE,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Unknown
7:00 AM,0,0,0,77%,1016 hPa,9 km,NE,5.6 km/h		/  ,0,0,	 ,Mist
7:55 AM,0,0,0,86%,1015 hPa,9.0 km,NNE,1.9 km/h		/ 0.5 m/s,0,N/A,	 ,Scattered Clouds
8:00 AM,0,0,0,78%,1016 hPa,9 km,NNE,1.9 km/h		/  ,0,0,	 ,Mist
8:55 AM,0,0,0,86%,1014 hPa,10.0 km,West,3.7 km/h		/ 1.0 m/s,0,N/A,	 ,Partly Cloudy
9:00 AM,0,0,0,83%,1015 hPa,10 km,West,3.7 km/h		/  ,0,0,	 ,Scattered Clouds
9:55 AM,0,0,0,93%,1013 hPa,10.0 km,Calm,Calm,0,N/A,	 ,Partly Cloudy
10:00 AM,0,0,0,83%,1014 hPa,10 km,Calm,Calm,0,0,	 ,Scattered Clouds
10:55 AM,2.0 °C,0,0,65%,1013 hPa,10.0 km,Calm,Calm,0,N/A,	 ,Partly Cloudy
11:00 AM,2 °C,0,0,56%,1014 hPa,10 km,Calm,Calm,0,0,	 ,Scattered Clouds
11:55 AM,4.0 °C,0,0,52%,1012 hPa,0,SW,3.7 km/h		/ 1.0 m/s,0,N/A,	 ,Clear
12:00 PM,4 °C,0,0,41%,1013 hPa,11 km,SW,3.7 km/h		/  ,0,0,	 ,Clear
12:55 PM,5.0 °C,0,0,49%,1010 hPa,0,Calm,Calm,0,N/A,	 ,Clear
1:00 PM,5 °C,0,0,37%,1011 hPa,12 km,Calm,Calm,0,0,	 ,Clear
1:55 PM,5.0 °C,3.3 °C,0,49%,1009 hPa,0,SE,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Clear
2:00 PM,5 °C,0,0,35%,1010 hPa,12 km,SE,7.4 km/h		/  ,0,0,	 ,Clear
2:55 PM,6.0 °C,5.0 °C,0,53%,1008 hPa,0,SW,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Clear
3:00 PM,6 °C,0,0,38%,1009 hPa,12 km,SW,5.6 km/h		/  ,0,0,	 ,Clear
3:55 PM,6.0 °C,5.0 °C,0,53%,1008 hPa,0,SSW,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Clear
4:00 PM,6 °C,0,0,41%,1009 hPa,10 km,SSW,5.6 km/h		/  ,0,0,	 ,Clear
4:55 PM,4.0 °C,2.8 °C,0,61%,1008 hPa,8.0 km,WNW,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Unknown
5:00 PM,4 °C,0,0,51%,1009 hPa,8 km,WNW,5.6 km/h		/  ,0,0,	 ,Mist
5:55 PM,2.0 °C,0,0,70%,1007 hPa,8.0 km,NW,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Unknown
6:00 PM,2 °C,0,0,63%,1008 hPa,8 km,NW,7.4 km/h		/  ,0,0,	 ,Mist
6:55 PM,1.0 °C,0,0,75%,1007 hPa,8.0 km,WNW,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Unknown
7:00 PM,1 °C,0,0,70%,1008 hPa,8 km,WNW,5.6 km/h		/  ,0,0,	 ,Mist
7:55 PM,0.0 °C,0,0,80%,1007 hPa,8.0 km,North,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Unknown
8:00 PM,0 °C,0,0,73%,1008 hPa,8 km,North,5.6 km/h		/  ,0,0,	 ,Mist
8:55 PM,0,0,0,86%,1008 hPa,8.0 km,NNE,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Unknown
9:00 PM,0,0,0,75%,1009 hPa,8 km,NNE,7.4 km/h		/  ,0,0,	 ,Mist
9:55 PM,0,0,0,86%,1008 hPa,7.0 km,NNE,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Unknown
10:00 PM,0,0,0,78%,1009 hPa,7 km,NNE,7.4 km/h		/  ,0,0,	 ,Mist
10:55 PM,0,0,0,86%,1008 hPa,7.0 km,WSW,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Unknown
11:00 PM,0,0,0,85%,1009 hPa,7 km,WSW,7.4 km/h		/  ,0,0,	 ,Mist
11:55 PM,0,0,0,93%,1008 hPa,6.0 km,NW,9.3 km/h		/ 2.6 m/s,0,N/A,	 ,Unknown
12:00 AM,0,0,0,83%,1009 hPa,6 km,NW,9.3 km/h		/  ,0,0,	 ,Mist
12:55 AM,0,0,0,93%,1009 hPa,6.0 km,NNW,9.3 km/h		/ 2.6 m/s,0,N/A,	 ,Unknown
1:00 AM,0,0,0,83%,1009 hPa,6 km,NNW,9.3 km/h		/  ,0,0,	 ,Mist
1:55 AM,0,0,0,86%,1009 hPa,6.0 km,WNW,5.6 km/h		/ 1.5 m/s,0,N/A,	 ,Unknown
2:00 AM,0,0,0,86%,1009 hPa,6 km,WNW,5.6 km/h		/  ,0,0,	 ,Mist
2:55 AM,0,0,0,93%,1009 hPa,6.0 km,NW,9.3 km/h		/ 2.6 m/s,0,N/A,	 ,Unknown
3:00 AM,0,0,0,88%,1010 hPa,6 km,NW,9.3 km/h		/  ,0,0,	 ,Mist
3:55 AM,0,0,0,93%,1009 hPa,6.0 km,West,11.1 km/h		/ 3.1 m/s,0,N/A,	 ,Unknown
4:00 AM,0,0,0,86%,1010 hPa,6 km,West,11.1 km/h		/  ,0,0,	 ,Mist
4:55 AM,0,0,0,93%,1009 hPa,6.0 km,West,9.3 km/h		/ 2.6 m/s,0,N/A,	 ,Unknown
5:00 AM,0,0,0,88%,1010 hPa,6 km,West,9.3 km/h		/  ,0,0,	 ,Mist
5:55 AM,0,0,0,93%,1009 hPa,6.0 km,NW,9.3 km/h		/ 2.6 m/s,0,N/A,	 ,Unknown
6:00 AM,0,0,0,88%,1010 hPa,6 km,NW,9.3 km/h		/  ,0,0,	 ,Mist
6:55 AM,0,0,0,93%,1010 hPa,6.0 km,North,3.7 km/h		/ 1.0 m/s,0,N/A,	 ,Partly Cloudy
7:00 AM,0,0,0,88%,1010 hPa,6 km,North,3.7 km/h		/  ,0,0,	 ,Mist
7:55 AM,0,0,0,80%,1010 hPa,6.0 km,NW,9.3 km/h		/ 2.6 m/s,0,N/A,	 ,Scattered Clouds
8:00 AM,0,0,0,72%,1010 hPa,6 km,NW,9.3 km/h		/  ,0,0,	 ,Mist
8:55 AM,0,0,0,64%,1012 hPa,10.0 km,North,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Partly Cloudy
9:00 AM,0,0,0,55%,1013 hPa,18 km,North,7.4 km/h		/  ,0,0,	 ,Scattered Clouds
9:55 AM,2.0 °C,0,0,35%,1013 hPa,10.0 km,North,11.1 km/h		/ 3.1 m/s,0,N/A,	 ,Partly Cloudy
10:00 AM,2 °C,0,0,21%,1014 hPa,35 km,North,11.1 km/h		/  ,0,0,	 ,Scattered Clouds
10:55 AM,5.0 °C,0,0,21%,1014 hPa,10.0 km,NNE,31.5 km/h		/ 8.7 m/s,51.9 km/h		/ 14.4 m/s,N/A,	 ,Partly Cloudy
11:00 AM,5 °C,0,0,10%,1015 hPa,45 km,NNE,31.5 km/h		/  ,0,0,	 ,Scattered Clouds
11:55 AM,6.0 °C,2.1 °C,0,11%,1014 hPa,10.0 km,NNE,22.2 km/h		/ 6.2 m/s,0,N/A,	 ,Partly Cloudy
12:00 PM,6 °C,0,0,4%,1015 hPa,40 km,NNE,22.2 km/h		/  ,0,0,	 ,Scattered Clouds
12:55 PM,6.0 °C,1.9 °C,0,11%,1014 hPa,10.0 km,ENE,24.1 km/h		/ 6.7 m/s,0,N/A,	 ,Partly Cloudy
1:00 PM,6 °C,0,0,4%,1015 hPa,45 km,ENE,24.1 km/h		/  ,0,0,	 ,Scattered Clouds
1:55 PM,6.0 °C,2.3 °C,0,10%,1014 hPa,10.0 km,NNE,20.4 km/h		/ 5.7 m/s,0,N/A,	 ,Partly Cloudy
2:00 PM,6 °C,0,0,4%,1015 hPa,45 km,NNE,20.4 km/h		/  ,0,0,	 ,Scattered Clouds
2:55 PM,5.0 °C,1.3 °C,0,11%,1015 hPa,10.0 km,NNE,18.5 km/h		/ 5.1 m/s,0,N/A,	 ,Partly Cloudy
3:00 PM,5 °C,0,0,4%,1016 hPa,45 km,NNE,18.5 km/h		/  ,0,0,	 ,Scattered Clouds
3:55 PM,4.0 °C,0,0,10%,1016 hPa,10.0 km,North,20.4 km/h		/ 5.7 m/s,0,N/A,	 ,Partly Cloudy
4:00 PM,4 °C,0,0,4%,1017 hPa,50 km,North,20.4 km/h		/  ,0,0,	 ,Scattered Clouds
4:55 PM,3.0 °C,0,0,10%,1017 hPa,10.0 km,North,16.7 km/h		/ 4.6 m/s,0,N/A,	 ,Partly Cloudy
5:00 PM,3 °C,0,0,4%,1018 hPa,50 km,North,16.7 km/h		/  ,0,0,	 ,Scattered Clouds
5:55 PM,1.0 °C,0,0,11%,1018 hPa,10.0 km,North,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Partly Cloudy
6:00 PM,1 °C,0,0,4%,1018 hPa,40 km,North,7.4 km/h		/  ,0,0,	 ,Scattered Clouds
6:55 PM,0.0 °C,0,0,13%,1018 hPa,10.0 km,NNE,9.3 km/h		/ 2.6 m/s,0,N/A,	 ,Partly Cloudy
7:00 PM,0 °C,0,0,4%,1019 hPa,35 km,NNE,9.3 km/h		/  ,0,0,	 ,Scattered Clouds
7:55 PM,0,0,0,16%,1019 hPa,0,North,7.4 km/h		/ 2.1 m/s,0,N/A,	 ,Clear
8:00 PM,0,0,0,7%,1020 hPa,15 km,North,7.4 km/h		/  ,0,0,	 ,
8:55 PM,0,0,0,21%,1021 hPa,0,Calm,Calm,0,N/A,	 ,Clear
9:00 PM,0,0,0,9%,1022 hPa,30 km,Calm,Calm,0,0,	 ,
